PublicationID,Year,Citation,ArticleTitle,DOI
482,1992,"Leroy, S.A.G. 1992. Palynological evidence of Azolla nilotica Dec. in recent Holocene of the eastern Nile Delta and palaeoenvironment. Vegetation History and Archaeobotany 1:43-52.",NULL,NULL
483,1987,"Coutellier, V., and D.J. Stanley. 1987. Late Quaternary stratigraphy and paleogeography of the eastern Nile Delta, Egypt. Marine Geology 77:257-275.",NULL,NULL
484,1988,"Stanley, D.J., H. Sheng, and Y. Pan. 1988. Heavy minerals and provenance of late Quaternary sands, eastern Nile Delta. Journal of African Earth Sciences 7:735-741.",NULL,NULL
485,1989,"Foucault, A., and D.J. Stanley. 1989. Late Quaternary palaeoclimatic oscillations in East Africa recorded by heavy minerals in the Nile Delta. Nature 339:44-46.",NULL,NULL
486,1983,"Hall, S.A. 1983. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma (by L.E. Albert). [Book Review] Plains Anthropologist 28:150-151.",NULL,NULL
487,1961,"West, R.G. 1961. Late and postglacial vegetational history in Wisconsin, particularly changes associated with the Valders readvance. American Journal of Science 259:766-783.",NULL,NULL
488,1972,"Webb, T., III, and R.A. Bryson. 1972. The late- and post- glacial sequence of climatic events in Wisconsin and east-central Minnesota: quantitative estimates derived from fossil pollen spectra by multivariate statistical analysis. Quaternary Research 2:70-115.",NULL,NULL
489,1995,"Mayle, F.E., and L.C. Cwynar. 1995. A review of multi-proxy data for the Younger Dryas in Atlantic Canada. Quaternary Science Reviews 14:813-821.",NULL,NULL
490,1995,"Mayle, F.E., and L.C. Cwynar. 1995. Impact of the Younger Dryas cooling event upon lowland vegetation of maritime Canada. Ecological Monographs 65:129-154.",NULL,NULL
491,1993,"Mayle, F.E., A.J. Levesque, and L.C. Cwynar. 1993. Accelerator-Mass-Spectrometer ages for the Younger Dryas event in Atlantic Canada. Quaternary Research 39:355-360.",NULL,NULL
492,1993,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. A previously unrecognized late-glacial cold event in eastern North America. Nature 361:623-626.",NULL,NULL
493,1986,"Mott, R.J., D.R. Grant, R. Stea, and S. Occhietti. 1986. Late-glacial climatic oscillation in Atlantic Canada equivalent to the Allerød/Younger Dryas event. Nature 323: 247-250..",Late-glacial climatic oscillation in Atlantic Canada equivalent to the Allerød/Younger Dryas event. Nature 323: 247-250.,NULL
494,1993,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. Erratum: A previously unrecognized late-glacial cold event in eastern North America. Nature 363:188.",NULL,NULL
495,1984,"Hansen, B.C.S., H.E. Wright, Jr., and J.P. Bradbury. 1984. Pollen studies in the Junín area, central Peruvian Andies. Geological Society of America Bulletin 95:1454-1465.",NULL,NULL
496,1994,"Hansen, B.C.S., G.O. Seltzer, and H.E. Wright, Jr. 1994. Late Quaternary vegetational change in the central Peruvian Andes. Palaeogeography, Palaeoclimatology, Palaeoecology 109:263-285.",NULL,NULL
497,1992,"Graf, K. 1992. Pollendiagramme aus den Anden: Eine Synthese zur Klimageschichte und Vegetationsentwicklung seit der letzten Eiszeit. Physische Geographie vol. 34. University of Zurich, Switzerland.",NULL,NULL
498,1989,"Graf, K. 1989. Palinologia del cuaternario reciente en los Andes del Ecuador, del Peru, y de Bolivia. Boletin Servicio Geologico Bolivia 4:69-91.",NULL,NULL
499,1984,"Ybert, J.P., and Y. Miranda. 1984. Analisis palinologico de un corte del Sajama. Actas II Congreso Geologico Bolivia, 691-694.",NULL,NULL
500,1964,"Ives, P.C., B. Levin, R.D. Robinson, and M. Rubin. 1964. U.S. Geological Survey radiocarbon dates VII. Radiocarbon 6:37-76.",NULL,NULL
501,1967,"Ives, P.C., B. Levin, C.L. Oman, and M. Rubin. 1967. U.S. Geological Survey radiocarbon dates IX. Radiocarbon 9:505-529.",NULL,NULL
502,1969,"Marsters, B., E.C. Spiker, and M. Rubin. 1969. U.S. Geological Survey radiocarbon dates X. Radiocarbon 11:210-227.",NULL,NULL
503,1959,"Patten, H.L. 1959. A postglacial pollen diagram from Lake Carlson, Dakota County, southern Minnesota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
505,1967,"McAndrews, J.H. 1967. Pollen analysis and vegetational history of the Itasca region, Minnesota. Pages 219-236 in E.J. Cushing and H.E. Wright, Jr., editors. Quaternary Paleoecology. Yale University Press, New Haven, Connecticut, USA.",NULL,NULL
506,1984,"Janssen, C.R. 1984. Modern pollen assemblages and vegetation in the Myrtle Lake Peatland, Minnesota. Ecological Monographs 54(2):213-252.",NULL,NULL
507,1956,"Hutchinson, G.E., R. Patrick, and E.S. Deevey, Jr. 1956. Sediments of Lake Patzcuaro, Michoacan, Mexico. Bulletin of the Geological Society of America 67:1491-1504.",NULL,NULL
508,1944,"Deevey, E.S., Jr. 1944. Pollen analysis and Mexican archeology: an attempt to apply the method. American Antiquity 10:135-149.",NULL,NULL
509,1983,"MacDonald, G.M. 1983. Holocene vegetation history of the upper Natla River area, Northwest Territories, Canada. Arctic and Alpine Research 15:169-180.",NULL,NULL
510,1961,"Maher, L.J., Jr. 1961. Pollen analysis and postglacial vegetation history in the Animas Valley Region, Southern San Juan Mountains, Colorado. Dissertation. University of Minnesota, Minneapolis, Minnesota.",NULL,NULL
511,1972,"Maher, L.J., Jr. 1972. Nomograms for computing 0.95 confidence limits of pollen data. Review of Palaeobotany and Palynology 13:85-93.",NULL,NULL
512,1963,"Hubbs, C.L., G.S. Bien, and H.E. Suess. 1963. La Jolla natural radiocarbon measurments III. Radiocarbon 5:254-272.",NULL,NULL
513,1963,"Maher, L.J., Jr. 1963. Pollen analyses of surface materials from the Southern San Juan Mountains, Colorado. Geological Society of America Bulletin 74:1485-1504.",NULL,NULL
514,1992,"Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
515,1989,"Radle, N.J., C.M. Keister, and R.W. Batterbee. 1989. Diatom, pollen, and geochemical evidence for the paleosalinity of Medicine Lake, South Dakota, during the Late Wisconsin and early Holocene. Journal of Paleolimnology 2:159-172.",NULL,NULL
516,1973,"Maher, L.J., Jr. 1973. Pollen evidence suggests that climate changes in the Colorado Rockies during the last 5000 years were out of phase with those in the northeastern United States. Abstracts of the IXth INQUA Congress Meetings, 2-10 December 1973, Christchurch, New Zealand, p227-228.",NULL,NULL
517,1993,"Kneller, M., and D.M. Peteet. 1993. Late-Quaternary climate in the ridge and valley of Virginia, U.S.A.: changes in vegetation and depositional environment: a contribution to the 'North Atlantic seaboard programme' of IGCP-253, 'Termination of the Pleistocene'. Quaternary Science Reviews 12(8):613-628. [DOI: 10.1016/0277-3791(93)90003-5]","Late-Quaternary climate in the ridge and valley of Virginia, U.S.A.: changes in vegetation and depositional environment: a contribution to the 'North Atlantic seaboard programme' of IGCP-253, 'Termination of the Pleistocene'",10.1016/0277-3791(93)90003-5
518,1965,"Whiteside, M.C. 1965. Paleoecological studies of Potato Lake and its environs. Ecology 46:807-816.",NULL,NULL
520,1993,"Anderson, R.S. 1993. A 35,000 year vegetation and climate history from Potato Lake, Mogollon Rim, Arizona. Quaternary Research 40:351-359.",NULL,NULL
521,1989,"Anderson, R.S., S.J. Smith, D. Rothstein, L. Murray, E. Hadly, C. Force, and S. Diveley-White. 1989. The mid-Wisconsin pollen stratigraphy of Potato Lake, Coconino County, Arizona. Current Research in the Pleistocene 6:51-54.",NULL,NULL
522,1989,"Anderson, R.S. 1989. Development of the southwestern ponderosa pine forests: what do we really know? Multiresource management of ponderosa pine forests, Rocky Mountain Forest and Range Experiment Station General Technical Report RM-185:15-22.",NULL,NULL
523,1995,"Osborn, G., C. Clapperton, P.T. Davis, M.A. Reasoner, D.T. Rodbell, G.O. Seltzer, and G. Zielinski. 1995. Potential glacial evidence for the Younger Dryas event in the cordillera of North and South America. Quaternary Science Reviews 14:823-832.",NULL,NULL
524,1994,"Reasoner, M.A., G. Osborn, and N.W. Rutter. 1994. Age of the Crowfoot advance in the Canadian Rocky Mountains: A glacial event coeval with the Younger Dryas Oscillation. Geology 22:439-442.",NULL,NULL
525,1996,"Reasoner, M.A. 1996. Late Quaternary alpine and sub-alpine lacustrine records: Canadian and Colorado Rocky Mountains. Dissertation. University of Alberta, Edmonton, Alberta, Canada.",NULL,NULL
526,1972,"Maher, L.J. 1972. Absolute pollen diagram of Redrock Lake, Boulder County, Colorado. Quaternary Research 2:531-553.",NULL,NULL
527,1970,"Maher, L.J., Jr. 1970. Two Creeks forest, Valders glaciation and pollen grains. Pages D-1 - D-8 in R.F. Black et al., Pleistocene geology of Southern Wisconsin. Wisconsin geological and Natural History Survey Information Circular No. 15, 175p.",NULL,NULL
528,1966,"Bachhuber, F.W. 1966. Pollen analysis from Hansen Marsh an upland site southcentral Wisconsin. Master's thesis. University of Wisconsin, Madison, Wisconsin, USA.",Pollen analysis from Hansen Marsh an upland site southcentral Wisconsin,NULL
529,1976,"Bender, M.M., R.A. Bryson, and D.A. Baerreis. 1976. University of Wisconsin radiocarbon dates XIII. Radiocarbon 18(1):125-139.",University of Wisconsin radiocarbon dates XIII,NULL
530,1969,"Schweger, C.E. 1969. Pollen analysis of Iola Bog and paleoecology of the Two Creeks Forest Bed, Wisconsin. Ecology 50:859-868.",NULL,NULL
531,1976,"Goodwin, R.G. 1976. Vegetation response to the Two Rivers Till Advance based on a pollen diagram from Kellners Lake, Manitowoc County, Wisconsin. Thesis. Geology and Geophysics, University of Wisconsin, Madison, Wisconsin, USA.",NULL,NULL
532,1978,"Bender, M.M., R.A. Bryson, and D.A. Baerreis. 1978. University of Wisconsin radiocarbon dates XV. Radiocarbon 20:157-167.",NULL,NULL
533,1987,"Gajewski, K. 1987. Environmental history of Caribou Bog, Penobscot Co., Maine. Le Naturaliste Canadien 114:133-140.",NULL,NULL
534,1979,"Gajewski, K. 1979. Environmental history of Caribou Bog, Penobscot Co., Maine. Thesis. University of Maine, Orono, Maine.",NULL,NULL
535,1972,"Bradbury, J.P., and R.O. Megard. 1972. Stratigraphic record of pollution in Shagawa Lake, Northeastern Minnesota. Geological Society of America Bulletin 83:2639-2648.",NULL,NULL
536,NULL,"Wright, H.E., Jr. (n.d.) Pollen analyses at Mummy Cave and nearby areas, Northeastern Wyoming. Unpublished manuscript, University of Minnesota.",NULL,NULL
537,1974,"Waddington, J.C.B., and H.E. Wright, Jr. 1974. Late Quatenary changes on the East Side of Yellowstone Park, Wyoming. Quaternary Research 4:175-184.",NULL,NULL
538,1976,"Wright, H.E., Jr. 1976. The dynamic nature of Holocene vegetation: A problem in paleoclimatology, biogeography, and stratigraphic nomenclature. Quaternary Research 6:581-596.",NULL,NULL
539,1979,"Bender, M.M., D.A. Baerreis, and R.A. Bryson. 1979. University of Wisconsin radiocarbon dates XVI. Radiocarbon 21(1):120-130.",University of Wisconsin radiocarbon dates XVI,NULL
540,1965,"Gooding, A.M., and J.G. Ogden, III. 1965. A radiocarbon dated pollen sequence from the Wells Mastodon site near Rochester, Indiana. Ohio Journal of Science 65:1-11.",NULL,NULL
541,1963,"Trautman, M.A. 1963. Isotopes, Inc. Radiocarbon Measurements III. Radiocarbon 5:62-79.",NULL,NULL
542,1995,"Macpherson, J.B. 1995. A 6 ka BP reconstruction for the Island of Newfoundland from a synthesis of Holocene lake-sediment pollen records. Geographie physique et Quaternarie 49:163-182.",NULL,NULL
543,1985,"Lamb, H.F. 1985. Palynological evidence for postglacial change in the position of tree limit in Labrador. Ecological Monographs 55:241-258.",NULL,NULL
544,1982,"Lamb, H.F. 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Dissertation. University of Cambridge, Cambridge, England.",NULL,NULL
545,1966,"Bradley, W.H. 1966. Tropical lakes, copropel, and oil shale. Geological Society of America Bulletin 77:1333-1338.",NULL,NULL
546,1991,"Warner, B.G., K. Tolonen, and M. Tolonen. 1991. A postglacial history of vegetation and bog formation at Point Escuminac, New Brunswick. Canadian Journal of Earth Sciences 28:1572-1582.",NULL,NULL
547,1970,"Valastro, S., and E.M. Davis. 1970. University of Texas at Austin radiocarbon dates VIII. Radiocarbon 12:617-639.",NULL,NULL
548,1960,"Graham, A.K., and C. Heimsch. 1960. Pollen studies of some Texas peat deposits. Ecology 41:751-763.",NULL,NULL
549,1954,"Potzger, J.E., and B.C. Tharp. 1954. Pollen study of two bogs in Texas. Ecology 35:462-466.",NULL,NULL
550,1970,"Valastro, S., and E.M. Davis. 1970. University of Texas at Austin radiocarbon dates VII. Radiocarbon 12:248-280.",NULL,NULL
551,1947,"Potzger, J.E., and B.C. Tharp. 1947. Pollen profile from a Texas Bog. Ecology 28:274-280.",NULL,NULL
552,1948,"Antevs, E. 1948. Review of Patschke Bog. Journal of Geology 56:83-84.",NULL,NULL
553,1943,"Potzger, J.E., and B.C. Tharp. 1943. Pollen record of Canadian spruce and fir from a Texas bog. Science 98:584-585.",NULL,NULL
554,1969,"Bryant, V.M., Jr. 1969. Late fullglacial and postglacial pollen analysis of Texas sediments. Dissertation. The University of Texas at Austin, Texas.",NULL,NULL
555,1958,"Graham, A.K. 1958. Pollen studies of some Texas peat deposits. Thesis. University of Texas, Austin, Texas, USA.",NULL,NULL
556,1989,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. [in Russian]",NULL,NULL
557,1987,"Kvavadze, E.V., L.P. Rukhadze, P.R. Tretyak, and L.V. Petrenko. 1987. On the migration on high-mountain vegetation belts in the late Holocene in the valley of the Amtqel river (Abkazia). Bulletin of the Georgian Academy of Sciences 125(2):421-424.",NULL,NULL
558,1982,"Kvavadze, E.V. 1982. The new data on the stratigraphy and palaeogeoraphy of the Holocene of the Colchida lowland. Pages 123-130 in Quaternary system of Georgia. Tbilisi, Metsniereba [in Russian].",NULL,NULL
559,1969,"Ogden, J.G., III, and R.J. Hay. 1969. Ohio Wesleyan natural radiocarbon measurments IV. Radiocarbon 11:137-149.",NULL,NULL
560,1971,"Williams, A.S. 1971. Late-glacial—postglacial vegetational history of the Pretty Lake region, northeastern Indiana, USA. Doctoral dissertation. Indiana University, Bloomington, Indiana, USA.","Late-glacial—postglacial vegetational history of the Pretty Lake region, northeastern Indiana, USA",NULL
561,1985,"Keen, K.L. 1985. Sand dunes on the Anoka Sand Plain. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
562,1961,"Winter, T.C. 1961. A pollen analysis of Kirchner Marsh, Dakota County, Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
563,1984,"Lamb, H.F. 1984. Modern pollen spectra from Labrador and their use in reconstructing Holocene vegetational history. Journal of Ecology 72:37-59.",NULL,NULL
564,1994,"Anderson, P.M., A.V. Lozhkin, W.R. Eisner, D.M. Hopkins, L.B. Brubaker, and P.A. Colinvaux. 1994. Pollen records from Ten Mile and Wonder Lake, Alaska. Geographie Physique et Quaternaire 48(2):131-141..","Pollen records from Ten Mile and Wonder Lake, Alaska. Geographie Physique et Quaternaire 48(2):131-141.",NULL
565,1985,"Singh, G., and E.A. Geissler. 1985. Late Cainozoic vegetation history of vegetation, fire, lake levels and climate at Lake George, New South Wales, Australia. Philosophical Transactions of the Royal Society of London Series B 311:379-447.",NULL,NULL
566,1980,"Polach, H., and G. Singh. 1980. Contemporary 14C levels and their significance to sedimentary history of Bega Swamp, New South Wales. Radiocarbon 22:398-409.",NULL,NULL
567,1988,"Green, D., G. Singh, H. Polach, D. Moss, D. Banks, and E.A. Geissler. 1988. A fine resolution palaeoecology and palaeoclimatology from southeastern Australia. Journal of Ecology 76:790-806.",NULL,NULL
568,1995,"Hope, G.S. 1995. Robustness and sensitivity of pollen data - A high resolution record from Bega Swamp, New South Wales. Proceedings of the Climate Change Conference, University of Melbourne and the Australian Quaternary Association.",NULL,NULL
569,1980,"Cwynar, L.C. 1980. A Late-Quaternary vegetation history from Hanging Lake, northern Yukon. Dissertation. University of Toronto, Toronto, Ontario, Canada.",NULL,NULL
570,1982,"Cwynar, L.C. 1982. A Late-Quaternary vegetation history from Hanging Lake, northern Yukon. Ecological Monographs 52:1-24.",NULL,NULL
571,1970,"Wasylikowa, K., and H.E. Wright, Jr. 1970. Late-glacial plant succession on an abandoned drainageway, northeastern Minnesota, USA. Acta Palaeobotanica 11:23-43.",NULL,NULL
572,1996,"Yu, Z., J.H. McAndrews, and D. Siddiqi. 1996. Influences of Holocene climate and water levels on vegetation dynamics of a lakeside wetland. Canadian Journal of Botany 74:1602-1615.",NULL,NULL
573,1991,"Jackson, L., and H. McKillop. 1991. New fossil records for the Rice Lake region. Arch. Notes Sept-Oct:12-16.",NULL,NULL
574,1996,"Singer, D.K., S.T. Jackson, B.J. Madsen, and D.A. Wilcox. 1996. Differentiating climatic and successional influences on long-term development of a marsh. Ecology 77:1765-1778.",NULL,NULL
575,1997,"Maenza-Gmelch, T.E. 1997. Vegetation, climate, and fire during the late-glacial-Holocene transition at Spruce Pond, Hudson Highlands, southeastern New York, USA. Journal of Quaternary Science 12:15-24.",NULL,NULL
576,1997,"Maenza-Gmelch, T.E. 1997. Holocene vegetation, climate, and fire history of the Hudson Highlands, southeastern New York, USA. The Holocene 7:25-37.",NULL,NULL
577,1997,"Maenza-Gmelch, T.E. 1997. Late-glacial - early Holocene vegetation, climate, and fire at Sutherland Pond, Hudson Highlands, southeastern New York, U.S.A. Canadian Journal of Botany In Press.",NULL,NULL
578,1968,"Lowdon, J.A., and W. Blake, Jr. 1968. Geological Survey of Canada radiocarbon dates VII. Radiocarbon 10:207-245.",NULL,NULL
579,1974,"Raine, J.I. 1974. Pollen sedimentation in relation to Quaternary vegetation history of the Snowy Mountains of New South Wales. Dissertation. Australian National University, Canberra, Australia.",NULL,NULL
580,1982,"Raine, J.I. 1982. Dimictic thermal regime and morphology of Blue Lake in the Snowy Mountains of New South Wales. Australian Journal of Marine Freshwater Resources 33:1119-1122.",NULL,NULL
581,1974,"Kershaw, A.P. 1974. A long continuous pollen sequence from northeastern Australia. Nature 251:222-223.",A long continuous pollen sequence from northeastern Australia,NULL
582,1976,"Kershaw, A.P. 1976. A Late Pleistocene and Holocene pollen diagram from Lynch's Crater, northeastern Queensland, Australia. New Phytologist 77:469-498.","A Late Pleistocene and Holocene pollen diagram from Lynch's Crater, northeastern Queensland, Australia",NULL
583,1994,"Kershaw, A.P. 1994. Pleistocene vegetation of the humid tropics of northeastern Queensland, Australia. Palaeogeography, Palaeoclimatology, and Palaeoecology 109:399-412.","Pleistocene vegetation of the humid tropics of northeastern Queensland, Australia",NULL
584,1993,"Harle, K.J., A.P. Kershaw, M.K. Macphail, and M.G. Neyland. 1993. Palaeoecological analysis of an isolated stand of Nothofagus cunninghamii (Hook.) Oerst. in eastern Tasmania. Australian Journal of Ecology 18:161-170.",NULL,NULL
585,1964,"Nilsson, T. 1964. Standard pollen diagramme und C14 datiengen aus dem Ageröds mosse in mittleren schonen. Lunds Universitets Årsskrift N.F. 2, 59(7):1-52.",NULL,NULL
586,1976,"Behre, K.-E. 1976. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte bei Flögeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Küstenforschung 11:101-118. Hildesheim, Germany.",NULL,NULL
587,1986,"Behre, K.-E., and D. Kucan. 1986. Die Reflektion archäologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung. - Beispiele aus der Siedlungskammer Flögeln, Nordwestdeutschland. Pages 95-114 in K.-E. Behre, editor. Anthropogenic indicators in pollen diagrams. Balkema, Rotterdam, The Netherlands.",NULL,NULL
588,1989,"Cwynar, L.C., and W.A. Watts. 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research 31:377-380.",NULL,NULL
589,1938,"Jessen, K., and A. Farrington. 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy 44B(10):205-260.",NULL,NULL
590,1977,"Watts, W.A. 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London, Series B 280:273-293.",NULL,NULL
591,1984,"McKeever, M.H. 1984. Comparative palynological studies of two lake sites in western Ireland and northwestern Spain. Thesis. Trinity College, Dublin, Ireland.",NULL,NULL
592,1996,"Allen, J.R.M., B. Huntley, and W.A. Watts. 1996. The vegetation and climate of northwest Iberia over the last 14,000 years. Journal of Quaternary Science 11:125-147.",NULL,NULL
593,1985,"Hannon, G.E. 1985. Late Quaternary vegetation of Sanabria Marsh, North West Spain. M.Sc. Thesis. Trinity College, Dublin, Ireland.",NULL,NULL
594,1988,"Turner, C., and G.E. Hannon. 1988. Vegetational evidence for late Quaternary climate changes in southwest Europe in relation to the influence of the North Atlantic Ocean. Philisophical Transactions of the Royal Society of London Series B 318:451-485.",NULL,NULL
595,1996,"Laird, K.R., S.C. Fritz, E.C. Grimm, and P.G. Mueller. 1996. Century-scale paleoclimatic reconstruction from Moon Lake, a closed-basin lake in the northern Great Plains. Limnology and Oceanography 41:890-902.","Century-scale paleoclimatic reconstruction from Moon Lake, a closed-basin lake in the northern Great Plains",NULL
596,1996,"Laird, K.R., S.C. Fritz, K.A. Maasch, and B.F. Cumming. 1996. Greater drought intensity and frequency before AD 1200 in the Northern Great Plains, USA. Nature 384:552-554.","Greater drought intensity and frequency before AD 1200 in the Northern Great Plains, USA",NULL
597,1996,"Laird, K.R. 1996. A high-resolution paleoclimatic record of a closed-basin lake in the northern Great Plains. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",A high-resolution paleoclimatic record of a closed-basin lake in the northern Great Plains,NULL
598,1989,"Reasoner, M.A., and M. Hickman. 1989. Late Quaternary environmental change in the Lake O'Hara region, Yoho National Park, British Columbia. Palaeogeography, Palaeoclimatology, Palaeoecology 72:291-316.",NULL,NULL
599,1992,"Beaudoin, A.B., and M.A. Reasoner. 1992. Evaluation of differential pollen deposition and pollen focussing from three Holocene intervals in sediments from Lake O'Hara, Yoho National Park, Britich Columbia, Canada: intra-lake variability in pollen percentages, concentrations, and influx. Review of Palaeobotany and Palynology 75:103-131.",NULL,NULL
600,1988,"Reasoner, M.A. 1988. The late Quaternary lacustrine record from the Upper Cataract Brook Valley, Yoho National Park, British Columbia. Dissertation. University of Alberta, Edmonton, Alberta, Canada.",NULL,NULL
601,1995,"Gajewski, K. 1995. Modern and Holocene pollen assemblages from some small Arctic lakes on Somerset Island, NWT, Canada. Quaternary Research 44:228-236.",NULL,NULL
602,1994,"Jackson, S.T., and C.R. Givens. 1994. Late Wisconsinan vegetation and environment of the Tunica Hills Region, Louisiana/Mississippi. Quaternary Research 41:316-325.",NULL,NULL
603,1995,"Worona, M.A., and C. Whitlock. 1995. Late Quaternary vegetation and climate history near Little Lake, central Coast Range, Oregon. Geological Society of America Bulletin 107:867-876.",NULL,NULL
604,1995,"Sea, D.S., and C. Whitlock. 1995. Postglacial vegetation and climate of the Cascade Range, central Oregon. Quaternary Research 43:370-381.",NULL,NULL
605,1997,"Feiler, E.J., R.S. Anderson, and P.A. Koehler. 1997. Late Quaternary paleoenvironments of the White River plateau, Colorado, U.S.A. Arctic and Alpine Research 29:53-62..","Late Quaternary paleoenvironments of the White River plateau, Colorado, U.S.A. Arctic and Alpine Research 29:53-62.",NULL
606,1994,"Short, S.K., J.T. Andrews, K.M. Williams, N.J. Weiner, and S.A. Scott. 1994. Late Quaternary marine and terrestrial environments, Northwestern Baffin Island, Northwest Territories. Geographie physique et Quaternaire 48:85-95.",NULL,NULL
607,1975,"Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.",NULL,NULL
608,1975,"Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio.",NULL,NULL
609,1972,"Ager, T.A. 1972. Surficial geology and Quaternary history of the Healy Lake area, Alaska. Thesis. Department of Geology, University of Alaska, Fairbanks, Alaska, USA.",NULL,NULL
610,1976,"Reeburgh, W.S., and M.S. Young. 1976. University of Alaska radiocarbon dates 1. Radiocarbon 18:1-15.",NULL,NULL
615,1985,"Markgraf, V. 1985. Paleoenvironemtal history of the last 10,000 years in northwestern Argentina. Zentralblatt Geologie Palaeontologie 11/12:1739-1749.",NULL,NULL
616,1973,"Godley, E.J., and N.T. Moar. 1973. Vegetation and pollen analysis of two bogs on Chiloe. New Zealand Journal of Botany 11:255-268.",NULL,NULL
617,1980,"Markgraf, V. 1980. New data on the late- and postglacial history of La Mision, Tierra del Fuego, Argentina. Proceedings IV International Palynological Conference 3:68-74.",NULL,NULL
618,1980,"Markgraf, V. 1980. Nuevos datos para la historia vegetacio- nal del Tardiglacial y Postglacial de ""La Mision"", Tierra del Fuego, Argentina. Memorias Inst. Nac. Antropologia, Mexico 86:75-81.",NULL,NULL
619,1993,"Markgraf, V. 1993. Paleoenvironments and paleoclimates in Tierra del Fuego and southernmost Patagonia, South America. Palaeogeography, Palaeoclimatology, Palaeoecology 102(1-2):53-68. [DOI: 10.1016/0031-0182(93)90005-4]","Paleoenvironments and paleoclimates in Tierra del Fuego and southernmost Patagonia, South America",10.1016/0031-0182(93)90005-4
620,1988,"Salgado-Labouriau, M.-L. 1988. Sequence of colonization by plants in the Venezuelan Andes after the last Pleistocene glaciation. Journal of Palynology 23/24:189-204.",NULL,NULL
621,1991,"Salgado-Labouriau, M.-L. 1991. Vegetation and climatic changes in the Merida Andes during the last 13,000 years. Boletim Instituto de Geociencias, Universidade de Sao Paulo 8:159-170.",NULL,NULL
622,1993,"Björck, S., H. Håkensson, S. Olsson, L. Barnekow, and J.A. Janssens. 1993. Palaeoclimatic studies in South Shetland Islands, Antarctica, based on numerous stratigraphic variables in lake sediment. Journal of Paleolimnology 8:233-272.",NULL,NULL
623,1989,"Byrne, A.R., and S.P. Horn. 1989. Prehistoric agriculture and forest clearance in the Sierra de los Tuxtlas, Veracruz, Mexico. Palynology 13:181-193.",NULL,NULL
624,1997,"Behling, H., and M.L. da Costa. 1997. Studies on Holocene tropical vegetation, mangrove and coast environments in the state of Maranhao, NE Brazil. Quaternary of South America and Antarctic Peninsula 10(7):93-118.",NULL,NULL
625,1995,"Behling, H. 1995. A high resolution Holocene pollen record from Lago do Pires, SE Brazil: Vegetation, climate and fire history. Journal of Paleolimnology 14:253-268.",NULL,NULL
626,1996,"Behling, H. 1996. First report on new evidence for the occurrence of Podocarpus and possible human presence at the mouth of the Amazon during the Late-glacial. Vegetation History and Archaeobotany 5:241-246.",NULL,NULL
627,1997,"Behling, H. 1997. Late Quaternary vegetation, climate and fire history in the Araucaria forest and campos region from Serra Campos Gerais (Paraná), S Brazil. Review of Palaeobotany and Palynology 97:109-121.",NULL,NULL
628,1997,"Behling, H. 1997. Late Quaternary vegetation, climate and fire history from the tropical mountain region of Morro de Itapeva, SE Brazil. Palaeogeography, Palaeoclimatology, Palaeoecology 129:407-422.",NULL,NULL
629,1995,"Almquist-Jacobson, H., and D. Sanger. 1995. Holocene climate and vegetation in the Milford drainage basin, Maine, U.S.A., and their implications for human history. Vegetation History and Archaeobotany 4:211-222.",NULL,NULL
630,1976,"Ritchie, J.C. 1976. The late-Quaternary vegetational history of the western interior of Canada. Canadian Journal of Botany 54:1793-1818.",NULL,NULL
631,1986,"Futyma, R.P., and N.G. Miller. 1986. Stratigraphy and genesis of the Lake Sixteen peatland, northern Michigan. Canadian Journal of Botany 64:3008-3019.",NULL,NULL
