"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"Vegetation Change through Glacial-Interglacial Cycles: A Long Pollen Sequence Perspective","The Last Two Glacial-Interglacial Cycles Simulated by the LLN Model","Water vapour, CO2 and insolation over the last glacial-interglacial cycles","Pattern of glacial—interglacial vegetation in subtropical Chile","Glacial-Interglacial Changes in Continental Weathering: Possible Implications for Atmospheric CO2","Vegetation Change through Glacial-Interglacial Cycles: A Long Pollen Sequence Perspective","The Last Two Glacial-Interglacial Cycles Simulated by the LLN Model","Water vapour, CO2 and insolation over the last glacial-interglacial cycles","Pattern of glacial—interglacial vegetation in subtropical Chile"
"Recherches palynologiques en Bretagne occidentale","L'Urbanisation en Amerique du Nord et en Europe Occidentale : Notes Comparatives","Celtique continental et celtique insulaire en breton","Les formes impersonnelles en breton","Les nouveaux facteurs de la vie rurale en Bretagne","Recherches palynologiques en Bretagne occidentale","L'Urbanisation en Amerique du Nord et en Europe Occidentale : Notes Comparatives","Celtique continental et celtique insulaire en breton","Les formes impersonnelles en breton"
"<U+82D7><U+5834><U+5C71><U+6C34><U+861A><U+6E7F><U+539F><U+306E><U+7DD1><U+85FB><U+985E><U+3068><U+97AD><U+6BDB><U+85FB><U+985E>","Chlorophyceae and Flagellata collected from some Sphagnum-bogs of Mt. Naéba","Sketches Showing Some Aspects of Groundwater Geology of western Canada","Some Features of Immigration in France and in Europe","Les tombes de l'âge du bronze de Lezommy-Huella en Cléder (Finistère)","Une tentative originale de reconversion de l'agriculture. Le groupement agricole maraîcher et horticole de Plouénan (Finistère)","<U+82D7><U+5834><U+5C71><U+6C34><U+861A><U+6E7F><U+539F><U+306E><U+7DD1><U+85FB><U+985E><U+3068><U+97AD><U+6BDB><U+85FB><U+985E>","Chlorophyceae and Flagellata collected from some Sphagnum-bogs of Mt. Naéba","Sketches Showing Some Aspects of Groundwater Geology of western Canada"
"Palynological studies in the western arm of Lake Superior","A Note on Pre-Achaemenid Bronze Standard-Tops from Western Iran","Investigations into the seasonal deep chlorophyll maximum in the western North Atlantic, and its possible significande to regional food chain relationships","Morphotectonic investigations along the Western Rift in the Masindi area, Bunyoro District, Uganda","In-situ investigations on the echinodermAsterias rubens as a predator of soft-bottom communities in the western Baltic Sea","Palynological studies in the western arm of Lake Superior","A Note on Pre-Achaemenid Bronze Standard-Tops from Western Iran","Investigations into the seasonal deep chlorophyll maximum in the western North Atlantic, and its possible significande to regional food chain relationships","Morphotectonic investigations along the Western Rift in the Masindi area, Bunyoro District, Uganda"
"A late Quaternary record of vegetation from Lake Annie, south-central Florida","Climate versus changes in 13C content of the organic component of lake sediments during the Late Quarternary","Vegetation and Pollen Rain in the Cuatro Cienegas Basin, Coahuila, Mexico","Vegetation Changes on an Old Rice Field Following Herbicide Treatment","Equilibrium-line altitudes of late Quaternary glaciers in the Southern Alps, New Zealand","A late Quaternary record of vegetation from Lake Annie, south-central Florida","Climate versus changes in 13C content of the organic component of lake sediments during the Late Quarternary","Vegetation and Pollen Rain in the Cuatro Cienegas Basin, Coahuila, Mexico","Vegetation Changes on an Old Rice Field Following Herbicide Treatment"
"Palynological Study of the Vegetational History since the Late-glacial Period of the Lowland in Kôchi Prefecture","Outlines of the Late-Glacial and Postglacial Vegetational and Climatic History of Sweden, Illustrated by Three Generalized Pollen Diagrams","Palynological Studies on the late Tertiary and Quaternary Systems in Hokuriku District, Central Japan","Littleton Bog, Tipperary: An Irish Vegetational Record","Surficial Geology of Part of the Cochrane District, Ontario, Canada","Palynological Study of the Vegetational History since the Late-glacial Period of the Lowland in Kôchi Prefecture","Outlines of the Late-Glacial and Postglacial Vegetational and Climatic History of Sweden, Illustrated by Three Generalized Pollen Diagrams","Palynological Studies on the late Tertiary and Quaternary Systems in Hokuriku District, Central Japan","Littleton Bog, Tipperary: An Irish Vegetational Record"
"Enkele Problemen Rondom Talenkennis in Het Bedrijfsleven","Enkele aspecten van behandeling en medicatie bij CARA","De Europese expansie in Azië; Enkele beschouwingen naar aanleiding van Holden Furbers Rival empires of trade in the Orient, 1600-1800","KRITISCHE STUDIE: MIDDELEEUWSE WIJSBEGEERTE. ENKELE KANTTEKENINGEN BIJ HET GELIJKNAMIGE BOEK VAN L.M. DE RIJK","Toegepaste Aspecten Van Het Taalpsychologisch Onderzoek: Enkele inleidende overwegingen","Enkele Problemen Rondom Talenkennis in Het Bedrijfsleven","Enkele aspecten van behandeling en medicatie bij CARA","De Europese expansie in Azië; Enkele beschouwingen naar aanleiding van Holden Furbers Rival empires of trade in the Orient, 1600-1800","KRITISCHE STUDIE: MIDDELEEUWSE WIJSBEGEERTE. ENKELE KANTTEKENINGEN BIJ HET GELIJKNAMIGE BOEK VAN L.M. DE RIJK"
"Belgian Business in the Nazi New Order. By John Gillingham. Gent, Belgium, Jan Dhondt Stichting, 1977. Pp. 237. 510 FB.","Vegetational Relationships of the Pine Barrens","Vegetational History of the Pine Barrens","Studies in the Scottish lateglacial environment","The Reminiscences of Thomas Stubbs. Edited by W. A. Maxwell and R. T. McGeogh. Cape Town and Rotterdam: A. A. Balkema, 1978. Pp. xvi + 302. Fl. 37.50, £8.90.","Belgian Business in the Nazi New Order. By John Gillingham. Gent, Belgium, Jan Dhondt Stichting, 1977. Pp. 237. 510 FB.","Vegetational Relationships of the Pine Barrens","Vegetational History of the Pine Barrens","Studies in the Scottish lateglacial environment"
"Palaeoecological events during the last 15,000 years","Palaeoecological events during the last 15 000 years B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa and H.E. Wright, John Wiley Publ., Chichester, 1996; 764 pp. STG$100","Holocene book reviews: Palaeoecological events during the last 15000 years: regional syntheses of palaeoecological studies of lakes and mires in Europe Edited by B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa and H.E. Wright, Chichester: John Wiley, 1996, 764 pp.,  100, hardback. ISBN 0-471-95840-9","Explanations for palaeoecological changes on the northern plains of Guadalcanal, Solomon Islands: the last 3200 years","Marine Molluscs as Indicators of Environmental Change in Glaciated North America and Greenland During the Last 18 000 Years","Palaeoecological events during the last 15,000 years","Palaeoecological events during the last 15 000 years B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa and H.E. Wright, John Wiley Publ., Chichester, 1996; 764 pp. STG$100","Holocene book reviews: Palaeoecological events during the last 15000 years: regional syntheses of palaeoecological studies of lakes and mires in Europe Edited by B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa and H.E. Wright, Chichester: John Wiley, 1996, 764 pp.,  100, hardback. ISBN 0-471-95840-9","Explanations for palaeoecological changes on the northern plains of Guadalcanal, Solomon Islands: the last 3200 years"
"Improve the Organization of Scientific Research","Art and Cognition","The Liar Paradox and Methods for its Solution","Index to Soviet Studies in Philosophy Vol. xv (Summer 1976-Spring 1977)","The Problem of Recall","Improve the Organization of Scientific Research","Art and Cognition","The Liar Paradox and Methods for its Solution","Index to Soviet Studies in Philosophy Vol. xv (Summer 1976-Spring 1977)"
"La végétation de quelques sites archéologiques en Limousin. Premières recherches sur la relation entre les plantes et les structures archéologiques","Les débuts de la coopération et du syndicalisme agricoles, 1900-1930 : quelques éléments de la pratique","Quelques recherches sur la méthode Potassium-Argon.","Sur quelques vers du Printemps d'A. d'Aubigné : poésie religieuse et poésie profane","Modalités d'action du milieu naturel sur l'occupation du sol et son évolution dans les campagnes du Maghreb oriental. (A la lumière de quelques études récentes)","La végétation de quelques sites archéologiques en Limousin. Premières recherches sur la relation entre les plantes et les structures archéologiques","Les débuts de la coopération et du syndicalisme agricoles, 1900-1930 : quelques éléments de la pratique","Quelques recherches sur la méthode Potassium-Argon.","Sur quelques vers du Printemps d'A. d'Aubigné : poésie religieuse et poésie profane"
"Les modifications physiques de l'estuaire de la Loire et leurs conséquences socio-économiques","Rôles de l'estuaire de la Loire vis-à-vis des espèces d'intérêt halieutique","Les Peuplements Larvaires De Trichopteres Des Anciens Lits Fluviaux Dans Trois Secteurs De La Plaine Alluviale Du Haut-Rhone Francais","Marcel SAMSON et Jean STAFFORD, L'effet de la retraite sur les comportements de vacances des nouveaux retraités","Maîtres et collégiens langrois au temps de la jeunesse de Diderot","Les modifications physiques de l'estuaire de la Loire et leurs conséquences socio-économiques","Rôles de l'estuaire de la Loire vis-à-vis des espèces d'intérêt halieutique","Les Peuplements Larvaires De Trichopteres Des Anciens Lits Fluviaux Dans Trois Secteurs De La Plaine Alluviale Du Haut-Rhone Francais","Marcel SAMSON et Jean STAFFORD, L'effet de la retraite sur les comportements de vacances des nouveaux retraités"
"Miscellaneous front pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 1 (1981)","Miscellaneous back pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 1 (1981)","Miscellaneous front pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 2 (1981)","Miscellaneous front pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 1 (1981)","Miscellaneous back pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 1 (1981)","Miscellaneous front pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 2 (1981)","Miscellaneous front pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 1 (1981)","Miscellaneous back pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 1 (1981)","Miscellaneous front pages, Bull. Amer. Math. Soc. (N.S.), Volume 4, Number 2 (1981)"
"Finnish Society of Gastroenterology","Organic Acidity in Finnish Lakes","The Russo-Finnish Peace","Organic dust toxic syndrome among finnish farmers","On Finnish “Aspect” in Discourse","Finnish Society of Gastroenterology","Organic Acidity in Finnish Lakes","The Russo-Finnish Peace","Organic dust toxic syndrome among finnish farmers"
"Finnish Society of Gastroenterology","Organic Acidity in Finnish Lakes","The Russo-Finnish Peace","Organic dust toxic syndrome among finnish farmers","On Finnish “Aspect” in Discourse","Finnish Society of Gastroenterology","Organic Acidity in Finnish Lakes","The Russo-Finnish Peace","Organic dust toxic syndrome among finnish farmers"
"Finnish Peat—Important Bioenergy Option and Finnish Peat Technology Applications in the USA","An Outline of Finnish Electrification","On Definiteness","Structural Change in Swedish and Finnish Monthly Industrial Output Series","Prevalence of primary fibromyalgia in the Finnish population.","Finnish Peat—Important Bioenergy Option and Finnish Peat Technology Applications in the USA","An Outline of Finnish Electrification","On Definiteness","Structural Change in Swedish and Finnish Monthly Industrial Output Series"
"Tuberculosis","Information sources","Le canton : espaces et solidarités","Information sources","Enhanced Immunogenicity of Recombinant and Synthetic Peptide Vaccines","Tuberculosis","Information sources","Le canton : espaces et solidarités","Information sources"
"Traces of human impact reflected in the pollen diagram from Tarnowiec mire near Jas?o (Jas?o-Sanok depression), SE Poland","A holocene pollen diagram from El Atrun, northern Sudan","Vegetational response to Holocene climatic change: pollen and palaeolimnological data from the Middle Atlas, Morocco","Middle Holocene vegetation and human impact in central Sudan: charcoal from the neolithic site at Kadero","Site formation processes in loess areas: A case study from moravany-žakovska, western slovakia","Traces of human impact reflected in the pollen diagram from Tarnowiec mire near Jas?o (Jas?o-Sanok depression), SE Poland","A holocene pollen diagram from El Atrun, northern Sudan","Vegetational response to Holocene climatic change: pollen and palaeolimnological data from the Middle Atlas, Morocco","Middle Holocene vegetation and human impact in central Sudan: charcoal from the neolithic site at Kadero"
"Radiocarbon dating the Devensian Lateglacial in Britain: New evidence from Llanilid, South Wales","Radiocarbon dates from midden sites in the lower Darling River area of western New South Wales","Radiocarbon Dating Evidence For the Age of Deglaciation of Lahave Basin, Scotian Shelf","Acacia courtii, a new species from eastern New South Wales (Acacia sect. Juliflorae: Fabaceae)","English","Reserve selection in New South Wales: Where to from here?","Radiocarbon dating the Devensian Lateglacial in Britain: New evidence from Llanilid, South Wales","Radiocarbon dates from midden sites in the lower Darling River area of western New South Wales","Radiocarbon Dating Evidence For the Age of Deglaciation of Lahave Basin, Scotian Shelf"
"The CASPIA project: diatoms, salt lakes, and environmental change","UNU monitor","Calendar","Notes for authors","Desert geomorphology","The CASPIA project: diatoms, salt lakes, and environmental change","UNU monitor","Calendar","Notes for authors"
"The vegetational history of the northern Apennines, Italy: information from three new sequences and a review of Regional vegetational change","A Lacustrine Pollen Record from North Priokhot'ya: New Information about Late Quaternary Vegetational Variations in Western Beringia","Late Quaternary vegetational history at Navarres, Eastern Spain. A two core approach","Vegetational History of a Site in the Central Amazon Basin Derived from Phytolith and Charcoal Records from Natural Soils","THE VEGETATIONAL LANDSCAPE OF THE NEGEV DURING ANTIQUITY AS EVIDENT FROM ARCHAEOLOGICAL WOOD REMAINS","The vegetational history of the northern Apennines, Italy: information from three new sequences and a review of Regional vegetational change","A Lacustrine Pollen Record from North Priokhot'ya: New Information about Late Quaternary Vegetational Variations in Western Beringia","Late Quaternary vegetational history at Navarres, Eastern Spain. A two core approach","Vegetational History of a Site in the Central Amazon Basin Derived from Phytolith and Charcoal Records from Natural Soils"
"Late-glacial pollen zones in Western Ireland","Late-glacial sea-levels in North-East Ireland","A Late-Glacial Pollen Profile from Lista, South Norway","Two Pollen Diagrams from Southeastern Minnesota: Problems in the Regional Late-Glacial and Postglacial Vegetational History","Editorial board","Late-glacial pollen zones in Western Ireland","Late-glacial sea-levels in North-East Ireland","A Late-Glacial Pollen Profile from Lista, South Norway","Two Pollen Diagrams from Southeastern Minnesota: Problems in the Regional Late-Glacial and Postglacial Vegetational History"
"A long pollen record from Laghi di Monticchio, southern Italy: a preiminary account"," From Italy to San Francisco: The Immigrant Experience. DINO CINEL ","Adenosine in vitro inhibits neutrophil functions by a calcium involving mechanism","New information on the head and shoulder girdle of Canowindra grossi Thomson, from the Late Devonian Mandagery Sandstone, New South Wales","The behavior of thallium during alteration of the K-alkaline rocks from the Roccamonfina Volcano (Campania, southern Italy)","A long pollen record from Laghi di Monticchio, southern Italy: a preiminary account"," From Italy to San Francisco: The Immigrant Experience. DINO CINEL ","Adenosine in vitro inhibits neutrophil functions by a calcium involving mechanism","New information on the head and shoulder girdle of Canowindra grossi Thomson, from the Late Devonian Mandagery Sandstone, New South Wales"
"THE LATE DEVENSIAN VEGETATIONAL HISTORY OF THE WHITLAW MOSSES, SOUTHEAST SCOTLAND","Devensian Late-Glacial Vegetational History at Sea Mere, Norfolk","Late Devensian river deposits in the Lower Colne valley, West London, England","Formation of a Sugar Region in the Late 19th Century Negros, Philippines","Amino acid evidence for Devensian ice, west Gower, South Wales","THE LATE DEVENSIAN VEGETATIONAL HISTORY OF THE WHITLAW MOSSES, SOUTHEAST SCOTLAND","Devensian Late-Glacial Vegetational History at Sea Mere, Norfolk","Late Devensian river deposits in the Lower Colne valley, West London, England","Formation of a Sugar Region in the Late 19th Century Negros, Philippines"
"Das Mittelneolithikum zur Zeit der Trichterbecherkultur in Nordostholstein / Untersuchungen zur Archäologie und Landschaftsgeschichte","Kommunikation und Emotion","Echokardiographische und dopplerechokardiographische Untersuchungen zur diastolischen linksventrikulären Funktion","Informalisierung des Rechts","Die syrische Innenraumdekoration in der ehemaligen Villa Gutmann in Potsdam. Untersuchungen zur Herkunft und Datierung","Das Mittelneolithikum zur Zeit der Trichterbecherkultur in Nordostholstein / Untersuchungen zur Archäologie und Landschaftsgeschichte","Kommunikation und Emotion","Echokardiographische und dopplerechokardiographische Untersuchungen zur diastolischen linksventrikulären Funktion","Informalisierung des Rechts"
"Late- and post-glacial pollen-analytical and environmental data from a near-coastal site in north-east Fife, Scotland","Special Issue: Late Glacial and Post Glacial Events in Coastal and Adjacent Areas","ABSTRACTS: LATE GLACIAL AND POST-GLACIAL EVENTS IN COASTAL AND ADJACENT AREAS","Late- and post-glacial vegetational change at Black Loch, Fife, eastern Scotland - a multiple core approach","The influence of late and post glacial slope development on the engineering geology of Wenlock Shale near Ironbridge, Salop","Late- and post-glacial pollen-analytical and environmental data from a near-coastal site in north-east Fife, Scotland","Special Issue: Late Glacial and Post Glacial Events in Coastal and Adjacent Areas","ABSTRACTS: LATE GLACIAL AND POST-GLACIAL EVENTS IN COASTAL AND ADJACENT AREAS","Late- and post-glacial vegetational change at Black Loch, Fife, eastern Scotland - a multiple core approach"
"Corrigendum: A palaeoenvironmental interpretation of the Silurian rocks in the Pentland Hills, near Edinburgh, Scotland","Cretaceous Stratigraphy of the Black Hills Region: ABSTRACT","Race and sex differences in the effects of early unemployment on wages","Age and origin of a compositionally varied mafic dyke swarm in the Bunger Hills, East Antarctica","Pressure-temperature-time path related to the thermotectonic evolution of an Early Proterozoic metamorphic terrane, Black Hills, South Dakota","Corrigendum: A palaeoenvironmental interpretation of the Silurian rocks in the Pentland Hills, near Edinburgh, Scotland","Cretaceous Stratigraphy of the Black Hills Region: ABSTRACT","Race and sex differences in the effects of early unemployment on wages","Age and origin of a compositionally varied mafic dyke swarm in the Bunger Hills, East Antarctica"
"Late- and post-glacial vegetational change at Black Loch, Fife, eastern Scotland - a multiple core approach","Post-glacial vegetational history of the Oxford region","Late- and post-glacial pollen-analytical and environmental data from a near-coastal site in north-east Fife, Scotland","Special Issue: Late Glacial and Post Glacial Events in Coastal and Adjacent Areas","ABSTRACTS: LATE GLACIAL AND POST-GLACIAL EVENTS IN COASTAL AND ADJACENT AREAS","Late- and post-glacial vegetational change at Black Loch, Fife, eastern Scotland - a multiple core approach","Post-glacial vegetational history of the Oxford region","Late- and post-glacial pollen-analytical and environmental data from a near-coastal site in north-east Fife, Scotland","Special Issue: Late Glacial and Post Glacial Events in Coastal and Adjacent Areas"
" Veränderung der Zellwandstruktur bei Tannenholz (Abies alba Mill.) durch Pilzeinwirkung ","Germinazione E Accrescimento Dell'Abete Bianco (Abies Alba Mill.) In Diverse Condizioni Termiche E Fotoperiodiche","Zur Frage der Unterscheidbarkeit physiologischer Rassen bei Abies alba","No Danger from Needles","Copper needles from Manabi, Ecuador"," Veränderung der Zellwandstruktur bei Tannenholz (Abies alba Mill.) durch Pilzeinwirkung ","Germinazione E Accrescimento Dell'Abete Bianco (Abies Alba Mill.) In Diverse Condizioni Termiche E Fotoperiodiche","Zur Frage der Unterscheidbarkeit physiologischer Rassen bei Abies alba","No Danger from Needles"
"Modern Pollen Rain in Western Iran, and Its Relation to Plant Geography and Quaternary Vegetational History","Late quaternary plant macrofossils from Lake Zeribar, western Iran","Late-Quaternary Cladocera of Lake Zeribar Western Iran","Late quaternary vegetation history of western Iran","A discussion on deformation of solids by the impact of liquids, and its relation to rain damage in aircraft and missiles, to blade erosion in steam turbines, and to cavitation erosion","Modern Pollen Rain in Western Iran, and Its Relation to Plant Geography and Quaternary Vegetational History","Late quaternary plant macrofossils from Lake Zeribar, western Iran","Late-Quaternary Cladocera of Lake Zeribar Western Iran","Late quaternary vegetation history of western Iran"
"Yearly variations in runoff as a function of precipitation variations for the East-European plain","The Conduct of East–West Relations during the 1980s","Authors","Notes on Authors","Notes on Authors","Yearly variations in runoff as a function of precipitation variations for the East-European plain","The Conduct of East–West Relations during the 1980s","Authors","Notes on Authors"
"Landscape, and late - glacial history, head of Vendom Fiord, Ellesmere Island","The Principal Environmental Factors Influencing Holocene Sedimentation and Diagenesis in the Persian Gulf","Late Quaternary glacial and climatic history of northern Cumberland Peninsula, Baffin Island, N.W.T., Canada","Glacial conglomerates of late precambrian age from the Bunyoro Series, W. Uganda","A “LOCAL” LATE-GLACIAL POLLEN DIAGRAM FROM LIMBURG, NETHERLANDS","Landscape, and late - glacial history, head of Vendom Fiord, Ellesmere Island","The Principal Environmental Factors Influencing Holocene Sedimentation and Diagenesis in the Persian Gulf","Late Quaternary glacial and climatic history of northern Cumberland Peninsula, Baffin Island, N.W.T., Canada","Glacial conglomerates of late precambrian age from the Bunyoro Series, W. Uganda"
"Late glacial ? early holocene palaeosalinity in Alberta, Canada ? climate implications","Holocene forest dynamics with respect to southern Ontario","Fungal palynomorphs and algae from Holocene bottom sediments of Chascomús lake, Buenos Aires province, Argentina","High-resolution lacustrine record of the late glacial/holocene transition in central Europe","Late Tertiary mosses of Ellesmere Island","Late glacial ? early holocene palaeosalinity in Alberta, Canada ? climate implications","Holocene forest dynamics with respect to southern Ontario","Fungal palynomorphs and algae from Holocene bottom sediments of Chascomús lake, Buenos Aires province, Argentina","High-resolution lacustrine record of the late glacial/holocene transition in central Europe"
"Variación en el Número de Análisis y Pruebas, Diagnósticas en Una Consulta Externa Hospitalaria","Arte rupestre paleolítico en el yacimiento solutrense de La Cueva de Ambrosio (Vélez-Blanco, Almeria)","Aspectos religiosos de la colonización fenico-púnica en la Península Ibérica: Las estelas de Villaricos (Almería)","Religious aspects of the phoenician and punic colonisation of Iberia. The villaricos (Almería) stelae","En torno al uso de la comparación en el análisis histórico de América Latina","Analisis de aspectors tecnicos de patentes Chinas en virtud de la IPC","Variación en el Número de Análisis y Pruebas, Diagnósticas en Una Consulta Externa Hospitalaria","Arte rupestre paleolítico en el yacimiento solutrense de La Cueva de Ambrosio (Vélez-Blanco, Almeria)","Aspectos religiosos de la colonización fenico-púnica en la Península Ibérica: Las estelas de Villaricos (Almería)"
"Palynological Evidence for Climatic Change and Human Activity during the Holocene on Minorca (Balearic Islands)","Calculating unbiased tree-ring indices for the study of climatic and environmental change","Climatic variations in the Iberian Peninsula during the late Maunder Minimum (AD 1675-1715): an analysis of data from rogation ceremonies","Glacial and climatic events in iceland reflecting regional north atlantic climatic shifts during the Pleistocene-Holocene transition","Background to Mid-Holocene Climatic Change in Anatolia and Adjacent Regions","Palynological Evidence for Climatic Change and Human Activity during the Holocene on Minorca (Balearic Islands)","Calculating unbiased tree-ring indices for the study of climatic and environmental change","Climatic variations in the Iberian Peninsula during the late Maunder Minimum (AD 1675-1715): an analysis of data from rogation ceremonies","Glacial and climatic events in iceland reflecting regional north atlantic climatic shifts during the Pleistocene-Holocene transition"
"Fenicios y autóctonos en Tartessos. Consideraciones sobre las relaciones coloniales y la dinámica de cambio en el Suroeste de la Península Ibérica","Catálogo y atlas de las arañas de la familia Philodromidae Thorell, 1870 de la Península Iberica e islas Baleares","Etnoarqueología de la extracción del oro de los ríos en el Noroeste de la Península Ibérica","Continuidad y cambio. Problemas de la neolitización en el este de la Península Ibérica","El género <i>Lysaphidus</i> (Hymenoptera: Braconidae) en la Península Ibérica","Fenicios y autóctonos en Tartessos. Consideraciones sobre las relaciones coloniales y la dinámica de cambio en el Suroeste de la Península Ibérica","Catálogo y atlas de las arañas de la familia Philodromidae Thorell, 1870 de la Península Iberica e islas Baleares","Etnoarqueología de la extracción del oro de los ríos en el Noroeste de la Península Ibérica","Continuidad y cambio. Problemas de la neolitización en el este de la Península Ibérica"
"Magnetic anomaly map (residual total field), Blake River Syncline, Ontario","Magnetic anomaly map (residual total field), Blake River Syncline, Ontario","Aeromagnetic Total Field Map, Blake River Syncline, Ontario","Aeromagnetic Total Field Map, Blake River Syncline, Ontario","Aeromagnetic Total Field Map, Blake River Syncline, Ontario","Magnetic anomaly map (residual total field), Blake River Syncline, Ontario","Magnetic anomaly map (residual total field), Blake River Syncline, Ontario","Aeromagnetic Total Field Map, Blake River Syncline, Ontario","Aeromagnetic Total Field Map, Blake River Syncline, Ontario"
"Notes on plant tissue preservation and mineralization in a Permian deposit of peat from Antarctica","A Foundation Deposit Tablet from Hierakonpolis","Small-angle light scattering from wood tissue, peat and lignite","The Sound Pattern of Russian","Participation by the Defense Attorney in the Preliminary Investigation","Notes on plant tissue preservation and mineralization in a Permian deposit of peat from Antarctica","A Foundation Deposit Tablet from Hierakonpolis","Small-angle light scattering from wood tissue, peat and lignite","The Sound Pattern of Russian"
"The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization","Late Pleistocene and Holocene Sea-Level Change; Evidence for Lateral Mantle Viscosity Structure?","A stable-isotope tree-ring timescale of the Late Glacial/Holocene boundary","The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization","A Review of the Late Weichselian and Early Holocene Glacial and Environmental History of Iceland","The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization","Late Pleistocene and Holocene Sea-Level Change; Evidence for Lateral Mantle Viscosity Structure?","A stable-isotope tree-ring timescale of the Late Glacial/Holocene boundary","The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization"
"The Assessment of Effects of Climatic Variations on Agriculture: A Summary of Results from Studies in Semi-Arid Regions","The Assessment of Effects of Climatic Variations on Agriculture: A Summary of Results from Studies in Semi-Arid Regions","Statement of purpose","Monopolistic Competition and General Purpose Products","Climatic reconstruction from tree rings at Banff","The Assessment of Effects of Climatic Variations on Agriculture: A Summary of Results from Studies in Semi-Arid Regions","The Assessment of Effects of Climatic Variations on Agriculture: A Summary of Results from Studies in Semi-Arid Regions","Statement of purpose","Monopolistic Competition and General Purpose Products"
"Foam Forming Surfactants For Beaverhill Lake Carbonates And Gilwood Sands Reservoirs","Stable isotopic signatures of tertiary lake carbonates, Eastern Ebro Basin, Spain","Recent Hydrothermal Metal Accumulation, Products and Conditions of Formation","Ecological correlates of net accumulation rates of Cladocera remains in lake sediments","Biogenic carbonates in temperate and subtropical environments: Production and accumulation, saturation state and stable isotope composition","Foam Forming Surfactants For Beaverhill Lake Carbonates And Gilwood Sands Reservoirs","Stable isotopic signatures of tertiary lake carbonates, Eastern Ebro Basin, Spain","Recent Hydrothermal Metal Accumulation, Products and Conditions of Formation","Ecological correlates of net accumulation rates of Cladocera remains in lake sediments"
"Late Weichselian Vegetation and Ice-Front Oscillations in the Bergen District, Western Norway","THE LATE-WEICHSELIAN GLACIATI0NS OF THE ERNE BASIN","The late-Weichselian glaciations of the erne basin","POLLEN ANALYSIS OF LATE-WEICHSELIAN DEPOSITS AT CORSTORPHINE, EDINBURGH","THE LATE WEICHSELIAN SEQUENCE IN THE VALE OF YORK","Late Weichselian Vegetation and Ice-Front Oscillations in the Bergen District, Western Norway","THE LATE-WEICHSELIAN GLACIATI0NS OF THE ERNE BASIN","The late-Weichselian glaciations of the erne basin","POLLEN ANALYSIS OF LATE-WEICHSELIAN DEPOSITS AT CORSTORPHINE, EDINBURGH"
"Diatoms for reconstructing palaeoenvironments and paleohydrology in tropical semi-arid zones","Note from the publisher regarding volume contents list","Climatic and glacial changes during the last 150, 000 years within the Arctic-European-Atlantic sector","Late Quaternary environmental changes inferred from small mammalian fauna, southern Africa","Resonantly enhanced two-photon spectroscopy of HCl and DCl in the 77 000–87 000 cm-1 region","Diatoms for reconstructing palaeoenvironments and paleohydrology in tropical semi-arid zones","Note from the publisher regarding volume contents list","Climatic and glacial changes during the last 150, 000 years within the Arctic-European-Atlantic sector","Late Quaternary environmental changes inferred from small mammalian fauna, southern Africa"
